experiment, n_procs, manual, mpi, mpi2
100000, 1, 0.0110433400, 0.0111101490, 0.0110985500
200000, 2, 0.0111057890, 0.0110705500, 0.0112005190
400000, 4, 0.0110101110, 0.0109022510, 0.0114644870
800000, 8, 0.0140218940, 0.0139819440, 0.0139344340
1600000, 16, 0.0137375560, 0.0112624780, 0.0116466050
3200000, 32, 0.0117154240, 0.0117282740, 0.0111684590
6400000, 64, 0.0166337500, 0.0164006120, 0.0157081480
9600000, 96, 0.0168299570, 0.0141021820, 0.0139247540
12800000, 128, 0.0226101950, 0.0189851690, 0.0187092510
19200000, 192, 0.0219220120, 0.0169779960, 0.0205155550
25600000, 256, 0.0289530180, 0.0207988720, 0.0206131740
